date,description,amount
2024-01-05,Netflix Subscription,15.99
2024-01-10,Spotify Premium,9.99
2024-01-12,Adobe Creative Cloud,54.99
2024-01-15,Amazon Prime,14.99
2024-01-18,Microsoft 365,6.99
2024-01-20,Dropbox Plus,11.99
2024-01-25,The New York Times,17.00
2024-02-05,Netflix Subscription,15.99
2024-02-10,Spotify Premium,9.99
2024-02-14,Adobe Creative Cloud,54.99
2024-02-15,Amazon Prime,14.99
2024-02-18,Microsoft 365,6.99
2024-02-20,Dropbox Plus,11.99
2024-02-22,Gym Membership,45.00
2024-02-25,The New York Times,17.00
2024-03-05,Netflix Subscription,15.99
2024-03-10,Spotify Premium,9.99
2024-03-14,Adobe Creative Cloud,54.99
2024-03-15,Amazon Prime,14.99
2024-03-18,Microsoft 365,6.99
2024-03-20,Dropbox Plus,11.99
2024-03-22,Gym Membership,45.00
2024-03-25,The New York Times,17.00
2024-03-28,Disney Plus,7.99
2024-04-05,Netflix Subscription,15.99
2024-04-10,Spotify Premium,9.99
2024-04-14,Adobe Creative Cloud,54.99
2024-04-15,Amazon Prime,14.99
2024-04-18,Microsoft 365,6.99
2024-04-20,Dropbox Plus,11.99
2024-04-22,Gym Membership,45.00
2024-04-25,The New York Times,17.00
2024-04-28,Disney Plus,7.99
2024-05-05,Netflix Subscription,15.99
2024-05-10,Spotify Premium,9.99
2024-05-14,Adobe Creative Cloud,54.99
2024-05-15,Amazon Prime,14.99
2024-05-18,Microsoft 365,6.99
2024-05-20,Dropbox Plus,11.99
2024-05-22,Gym Membership,45.00
2024-05-25,The New York Times,17.00
2024-05-28,Disney Plus,7.99
2024-06-05,Netflix Subscription,15.99
2024-06-10,Spotify Premium,9.99
2024-06-14,Adobe Creative Cloud,54.99
2024-06-15,Amazon Prime,14.99
2024-06-18,Microsoft 365,6.99
2024-06-20,Dropbox Plus,11.99
2024-06-22,Gym Membership,45.00
2024-06-25,The New York Times,17.00
2024-06-28,Disney Plus,7.99
2024-07-05,Netflix Subscription,15.99
2024-07-10,Spotify Premium,9.99
2024-07-14,Adobe Creative Cloud,54.99
2024-07-15,Amazon Prime,14.99
2024-07-18,Microsoft 365,6.99
2024-07-20,Dropbox Plus,11.99
2024-07-22,Gym Membership,45.00
2024-07-25,The New York Times,17.00
2024-07-28,Disney Plus,7.99
2024-08-05,Netflix Subscription,15.99
2024-08-10,Spotify Premium,9.99
2024-08-14,Adobe Creative Cloud,54.99
2024-08-15,Amazon Prime,14.99
2024-08-18,Microsoft 365,6.99
2024-08-20,Dropbox Plus,11.99
2024-08-22,Gym Membership,45.00
2024-08-25,The New York Times,17.00
2024-08-28,Disney Plus,7.99
2024-09-05,Netflix Subscription,15.99
2024-09-10,Spotify Premium,9.99
2024-09-14,Adobe Creative Cloud,54.99
2024-09-15,Amazon Prime,14.99
2024-09-18,Microsoft 365,6.99
2024-09-20,Dropbox Plus,11.99
2024-09-22,Gym Membership,45.00
2024-09-25,The New York Times,17.00
2024-09-28,Disney Plus,7.99
2024-10-05,Netflix Subscription,15.99
2024-10-10,Spotify Premium,9.99
2024-10-14,Adobe Creative Cloud,54.99
2024-10-15,Amazon Prime,14.99
2024-10-18,Microsoft 365,6.99
2024-10-20,Dropbox Plus,11.99
2024-10-22,Gym Membership,45.00
2024-10-25,The New York Times,17.00
2024-10-28,Disney Plus,7.99
2024-11-05,Netflix Subscription,15.99
2024-11-10,Spotify Premium,9.99
2024-11-14,Adobe Creative Cloud,54.99
2024-11-15,Amazon Prime,14.99
2024-11-18,Microsoft 365,6.99
2024-11-20,Dropbox Plus,11.99
